#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
84000	168.00000000007407	-1639244.6356553314	322833.1875227816	-1316411.4481325499	301.07321947284106	1270.996265726671	1.008326046042563	8.92
84500	169.00000000007884	-1639269.7268605307	322090.2864731807	-1317179.44038735	300.38039228097335	1270.4062568290844	1.0087943382409328	8.98
85000	170.00000000008362	-1641320.443750509	323241.11835593963	-1318079.3253945694	301.4536544900818	1270.3232412910822	1.008860262882788	8.98
85500	171.0000000000884	-1641610.760368566	321809.04012401996	-1319801.720244546	300.11810281669443	1270.2691960147943	1.0089031861716584	9.03
86000	172.00000000009317	-1638457.6791594038	321457.3647991464	-1317000.3143602572	299.79013151027056	1271.3085457143902	1.0080783641982645	9.08
86500	173.00000000009794	-1639612.1565681193	321931.27397445287	-1317680.8825936664	300.2320977227349	1272.5123992261535	1.0071246770832227	9.12
87000	174.00000000010272	-1639749.158581743	321230.8238870913	-1318518.3346946517	299.5788601652824	1270.9037849020372	1.008399419672688	9.17
87500	175.0000000001075	-1640621.8989174068	322921.9716173343	-1317699.9273000725	301.15601924132227	1269.852502897022	1.0092342506167156	9.21
88000	176.00000000011227	-1639778.3087948905	321927.4544969579	-1317850.8542979327	300.2285356899868	1269.3267901434613	1.0096522417290121	9.22
88500	177.00000000011704	-1639237.0301889936	322814.4279196509	-1316422.6022693426	301.0557243257221	1270.1458878460578	1.0090011324040635	9.27
89000	178.00000000012182	-1640003.1512755174	323394.3685695819	-1316608.7827059356	301.59657515929865	1271.467555765332	1.0079522936655814	9.31
89500	179.0000000001266	-1639730.63020954	320531.2316806037	-1319199.3985289363	298.92642266484586	1274.0880386027034	1.005879185994516	9.33
90000	180.00000000013137	-1639423.370899099	320960.690056958	-1318462.680842141	299.32693420144074	1275.0823638425238	1.0050947887734376	9.35
90500	181.00000000013614	-1639068.1469474696	320396.0763164237	-1318672.0706310458	298.80037719555895	1272.7976298139542	1.006898983102574	9.34
91000	182.00000000014091	-1639234.3827022286	319964.0433988906	-1319270.339303338	298.3974646499249	1271.5915389075028	1.0078540159649965	9.37
91500	183.0000000001457	-1639655.2395484	322091.83169982873	-1317563.4078485714	300.3818333545052	1272.8716274128783	1.0068404476575974	9.4
92000	184.00000000015046	-1639675.1703687431	321740.0722187823	-1317935.0981499609	300.0537835642981	1273.680899977057	1.0062007204301502	9.43
92500	185.00000000015524	-1637253.7560438542	322042.5692828623	-1315211.1867609918	300.3358913787471	1273.454224757207	1.0063798244490325	9.42
93000	186.00000000016001	-1638795.0566484341	323653.90603546496	-1315141.1506129692	301.8386189870316	1274.570828168741	1.005498173056702	9.45
93500	187.0000000001648	-1636911.5352123212	321885.53733126295	-1315025.9978810581	300.1894438725569	1273.0498103223968	1.0066995248445778	9.48
94000	188.00000000016956	-1635163.3659144212	322157.72522468667	-1313005.6406897344	300.4432854493893	1275.6036548656648	1.0046840445044047	9.51
94500	189.00000000017434	-1637000.731900758	323058.01149022114	-1313942.720410537	301.2828896006587	1274.4898706765198	1.0055620437962007	9.55
95000	190.0000000001791	-1637999.9346337514	323980.70232525433	-1314019.2323084972	302.1433881832646	1274.423488815124	1.0056144212678984	9.55
95500	191.0000000001839	-1638221.743179014	322752.8998109499	-1315468.8433680641	300.99834340427213	1274.0900331900389	1.0058776112911332	9.58
96000	192.00000000018866	-1636689.633693396	320816.9727345415	-1315872.6609588545	299.1929038767211	1274.573161120764	1.0054963326139024	9.61
96500	193.00000000019344	-1638022.4696670957	322182.3454339281	-1315840.1242331676	300.46624617940995	1272.3325451173253	1.0072670419955805	9.64
97000	194.0000000001982	-1637658.4902006565	322210.53237344127	-1315447.957827215	300.49253323090994	1273.5094235604236	1.0063362040714654	9.67
97500	195.000000000203	-1638427.4294193229	322978.08073299134	-1315449.3486863314	301.20834642683343	1275.1012742937185	1.0050798826665015	9.66
98000	196.00000000020776	-1639546.7989642462	321503.41210821195	-1318043.3868560342	299.833075086471	1272.3036729394457	1.0072898997408086	9.69
98500	197.00000000021254	-1638879.941803677	321030.42031263537	-1317849.5214910416	299.3919644194693	1271.8385035657866	1.007658311618922	9.71
99000	198.0000000002173	-1639050.2224714104	321532.65297526884	-1317517.5694961415	299.86034502749703	1271.0854213810887	1.008255320686903	9.74
99500	199.0000000002221	-1640043.8228931595	321290.7734209796	-1318753.0494721797	299.6347689128066	1271.1502504439075	1.0082038993482383	9.76
100000	200.00000000022686	-1640192.821050698	323062.44018003065	-1317130.3808706673	301.28701978290303	1269.8184599163342	1.00926130750964	9.75
100500	201.00000000023164	-1638408.490526219	322243.0290283371	-1316165.461497882	300.52283950947646	1268.6224557039397	1.0102127968749441	9.78
101000	202.0000000002364	-1640802.458935557	322571.78907362185	-1318230.669861935	300.82944009793346	1268.95569030851	1.009947509548941	9.8
101500	203.0000000002412	-1639479.0826633172	322347.6475874431	-1317131.435075874	300.6204064500019	1268.7348130812418	1.0101233338451576	9.83
102000	204.00000000024596	-1639531.0928634936	322618.33854754927	-1316912.7543159444	300.87285199151114	1267.6395090043286	1.0109961310385922	9.85
102500	205.00000000025074	-1638030.6203782745	322555.3553107248	-1315475.2650675497	300.81411402213115	1270.4770956257719	1.0087380902556113	9.84
103000	206.0000000002555	-1637199.44607143	323329.7273231775	-1313869.7187482526	301.5362909353778	1272.7637332015672	1.006925799127931	9.87
103500	207.0000000002603	-1637105.0097855022	322593.67557765567	-1314511.3342078466	300.84985138304023	1272.1150446018416	1.0074392599893802	9.87
104000	208.00000000026506	-1638438.743513289	323169.9129756419	-1315268.830537647	301.3872485754529	1268.3931716466996	1.0103954103530999	9.88
104500	209.00000000026984	-1638125.2030615332	322840.4079850983	-1315284.795076435	301.07995325338095	1271.8331812605059	1.0076625284181313	9.85
105000	210.0000000002746	-1638355.6898720646	322503.43546468654	-1315852.2544073781	300.7656937363445	1269.4956921270432	1.0095179110121664	9.86
105500	211.00000000027939	-1638312.187101569	322174.07375023304	-1316138.113351336	300.45853203310537	1271.610963379335	1.0078386205079677	9.86
106000	212.00000000028416	-1639432.5903434055	321776.2522860047	-1317656.3380574007	300.0875249816628	1271.894363594693	1.0076140565109304	9.87
106500	213.00000000028894	-1639369.023113816	323242.6438832029	-1316126.3792306131	301.45507719202914	1270.3688908587374	1.008824010393329	9.85
107000	214.0000000002937	-1639450.6844304781	322383.82455612224	-1317066.8598743558	300.65414497767483	1273.301146821814	1.0065008127526498	9.84
107500	215.00000000029848	-1639632.022844417	323688.71462596697	-1315943.30821845	301.8710813695028	1271.9025582250372	1.0076075646419822	9.86
108000	216.00000000030326	-1637196.8563539628	323915.27186504344	-1313281.5844889195	302.08236794101987	1273.288717220856	1.006510638021104	9.88
108500	217.00000000030803	-1636903.702342216	324260.5317694914	-1312643.1705727247	302.4043562464499	1272.7189714601454	1.0069612128785406	9.9
109000	218.0000000003128	-1636013.9007952102	322485.56154456676	-1313528.3392506433	300.74902457442727	1274.2707077863652	1.0057349912573652	9.89
109500	219.00000000031758	-1635382.7657146882	320950.51481166866	-1314432.2509030197	299.3174447995558	1274.1165969140652	1.0058566400116322	9.9
110000	220.00000000032236	-1639113.2375899237	322462.8098342967	-1316650.4277556268	300.72780640069465	1272.196098806615	1.0073750739820875	9.92
110500	221.00000000032713	-1637914.3004339887	322002.2425881445	-1315912.0578458442	300.2982828295686	1271.1977426955284	1.0081662326094885	9.94
111000	222.0000000003319	-1638033.7193881841	320469.2527174646	-1317564.4666707194	298.8686212779591	1270.7776162776602	1.0084995381875035	9.92
111500	223.00000000033668	-1639294.4516452672	322928.654876368	-1316365.796768899	301.16225202776315	1271.6567272438679	1.0078023508220442	9.93
112000	224.00000000034146	-1637207.669519009	322809.80384143896	-1314397.86567757	301.05141192486565	1272.3772718149792	1.0072316344718517	9.95
112500	225.00000000034623	-1637384.5548075633	320731.3575298694	-1316653.197277694	299.11305940501654	1273.4261730256096	1.0064019935368984	9.98
113000	226.000000000351	-1639911.8938427726	321997.35927850084	-1317914.5345642718	300.29372867029093	1271.7960319695385	1.0076919623426948	10
